SKU,Encontrado,Stock,Stock Futuro
MLBSL522201-BLU,SI,98,0
RMSB522211-NVY,SI,0,5
JVSB522201-BLK,SI,0,6
BCSB522206-NVY,SI,0,2
NBASO522204-YEL,SI,0,8
NBASO522204-GRY,SI,0,8
NBASO522203-PUR,SI,0,24
NBASO522203-BLK,SI,1,44
NBASO522202-WHT,SI,0,61
NBASO522202-LHB,SI,0,33
NBASO522202-RED,SI,0,5
NBASO522201-WHT1,SI,4,46
NBASO522201-GRN,SI,4,30
NBASO522201-WHT,SI,5,20
NBASO522201-PUR,SI,5,0
NBASO522201-BLK,SI,6,0
NBABX522206-RED,SI,11,47
NBABX522201-LHB,SI,0,23
NBABX522201-GRY,SI,0,23
NBABX522201-PUR,SI,0,23
NBABX522201-RED,SI,0,23
NBATS522245-NVY,SI,25,8
NBATS522245-BLU,SI,9,7
NBATS522244-BLK,SI,12,13
NBATS522243-BLK,SI,20,17
NBATS522242-WHT,SI,12,4
NBATS522241-BLK,SI,8,8
NBATS522241-GRY,SI,21,0
NBATS522239-BLU,NO,21,0
NBATS522239-BLK,SI,42,0
NBATS522238-BLK,SI,7,14
NBATS522237-BLU,SI,17,24
NBATS522236-GRN,SI,29,0
NBATS522235-PUR1,SI,9,0
NBATS522235-PUR,NO,9,0
NBATS522232-BLU,SI,0,4
NBATS522231-YEL,NO,0,4
NBATS522231-BLU,SI,19,0
NBATS522230-WHT,SI,2,0
MLBTS522209-GRY,SI,0,6
FTGTS522202-BGE,SI,9,0
FTGTS522202-GRY,SI,34,0
GYTS522201-GRN,SI,15,0
JVSH322201-WHT,SI,22,18
JVSH322201-BLK,SI,17,4
JVJS322202-WHT,SI,21,14
JVJS322201-BLK,SI,29,1
JVTS322202-BLK,SI,7,20
PSGJS32205-BLU,NO,7,20
PSGJS32203-GRY,SI,16,23
PSGJS32202-NVY,SI,29,4
PSGTS32217-WHT2,SI,21,9
PSGTS32217-BLU3,SI,10,24
PSGTS32217-BLU2,SI,21,14
CCSO522202-RED,SI,14,34
CNSO522202-NVY,SI,13,37
CNSO522201-LBL,SI,13,29
PSGTS32212-BLU1,SI,19,18
PSGTS32212-BLK1,SI,29,0
PSGTS32212-BLK,SI,21,17
PSGSH32201-BLK,SI,11,13
PSGSW32205-NVY,SI,4,23
PSGTS32209-NVY,SI,22,9
PSGTS32209-BLK,SI,19,9
PSGJP32201-BLK,SI,25,9
PSGJP32201-BLU,SI,25,14
PSGTT32201-BLU,SI,29,3
PSGHD32202-NVY,SI,5,8
PSGHD32201-BLU,SI,5,0
PSGTS32208-BLK,SI,34,0
PSGTS32206-NVY,SI,8,0
ACPJ522202-BLK,SI,0,32
